min,max,mean,count,std,year,month,adm3_pcode,adm3_en,adm2_en,adm1_en,zscore_category
-0.3944266736507416,-0.3257323205471039,-0.3594728088378906,25,0.017358896429147924,2024,3,ET010101,Tahtay Adiyabo,North Western,Tigray,Normal
-0.30345824360847473,-0.1302625834941864,-0.21236452460289001,4,0.07762106709561063,2024,3,ET010102,Laelay Adiabo,North Western,Tigray,Normal
-0.2516653537750244,-0.12939514219760895,-0.21144495010375977,5,0.04325558814742936,2024,3,ET010103,Zana,North Western,Tigray,Normal
-0.3138540983200073,-0.12290909886360168,-0.19110210736592612,9,0.06818306795599374,2024,3,ET010104,Tahtay Koraro,North Western,Tigray,Normal
-0.43529394268989563,-0.15820099413394928,-0.34064722061157227,14,0.08047485382859927,2024,3,ET010105,Asgede,North Western,Tigray,Normal
-0.5802263021469116,-0.15746235847473145,-0.33746957778930664,14,0.11199441621628664,2024,3,ET010106,Tselemti,North Western,Tigray,Normal
,,,0,,2024,3,ET010107,Sheraro town,North Western,Tigray,Normal
,,,0,,2024,3,ET010108,Indasilassie town,North Western,Tigray,Normal
-0.16663730144500732,0.05934027209877968,-0.034319013357162476,4,0.08405396392406671,2024,3,ET010109,Selekleka,North Western,Tigray,Normal
-0.4201992154121399,-0.24056194722652435,-0.3603971685682024,7,0.05422964658021211,2024,3,ET010110,Seyemti Adyabo,North Western,Tigray,Normal
-0.18306341767311096,-0.18306341767311096,-0.18306341767311096,1,0.0,2024,3,ET010111,Adi Daero,North Western,Tigray,Normal
-0.4175514876842499,-0.2912144064903259,-0.37429968516031903,6,0.043694725803946524,2024,3,ET010112,Adi Hageray,North Western,Tigray,Normal
-0.309536337852478,-0.15388280153274536,-0.24408905506134032,10,0.04278462599071613,2024,3,ET010113,Tsimbla,North Western,Tigray,Normal
,,,0,,2024,3,ET010114,Endabaguna town,North Western,Tigray,Normal
-0.4465900659561157,0.028975529596209526,-0.21647316217422485,8,0.14217710937175618,2024,3,ET010115,Dima (TG),North Western,Tigray,Normal
,,,0,,2024,3,ET010116,May Tsebri town,North Western,Tigray,Normal
-0.22253826260566711,-0.011859146878123283,-0.11419478654861451,5,0.0739323166598047,2024,3,ET010201,Chila,Central,Tigray,Normal
-0.34293580055236816,-0.1444871574640274,-0.24336159229278564,5,0.070818208561612,2024,3,ET010202,Aheferom,Central,Tigray,Normal
-0.5665122270584106,-0.40126049518585205,-0.48072391748428345,4,0.07935969640158747,2024,3,ET010203,Edaga arbi,Central,Tigray,Normal
-0.38122278451919556,-0.13295292854309082,-0.23571348190307617,5,0.0840064149285748,2024,3,ET010204,Adwa,Central,Tigray,Normal
-0.3368675708770752,-0.11751003563404083,-0.24068023761113486,3,0.09156232146398546,2024,3,ET010205,Laelay Maychew,Central,Tigray,Normal
-0.0774490013718605,0.018294472247362137,-0.029577264562249184,2,0.04787173680961132,2024,3,ET010206,Tahtay Mayechew,Central,Tigray,Normal
-0.4480641782283783,-0.16977576911449432,-0.30270302295684814,5,0.09426894721048608,2024,3,ET010207,Adet,Central,Tigray,Normal
-0.528446614742279,0.05606771260499954,-0.2909879684448242,6,0.20628340914038296,2024,3,ET010208,Kola Temben,Central,Tigray,Normal
-0.5158984661102295,-0.3918447196483612,-0.4484472870826721,4,0.04427704904435423,2024,3,ET010209,Naeder,Central,Tigray,Normal
-0.6654902696609497,0.36550211906433105,-0.3673148685031467,9,0.3146836545057291,2024,3,ET010210,Abergele (TG),Central,Tigray,Normal
,,,0,,2024,3,ET010211,Abi Adi town,Central,Tigray,Normal
-0.23796434700489044,-0.23796434700489044,-0.23796434700489044,1,0.0,2024,3,ET010212,Adwa town,Central,Tigray,Normal
,,,0,,2024,3,ET010213,Axum town,Central,Tigray,Normal
-0.10643454641103745,0.4965681731700897,0.13518790006637574,5,0.2318568180070053,2024,3,ET010214,Rama,Central,Tigray,Normal
-0.06647247821092606,0.3997713029384613,0.13116729259490967,3,0.1968464013714866,2024,3,ET010215,Ahsea,Central,Tigray,Normal
-0.2469201236963272,0.4670920670032501,0.03432455162207285,6,0.24227742739616645,2024,3,ET010216,Egela,Central,Tigray,Normal
-0.27540525794029236,-0.27540525794029236,-0.27540525794029236,1,0.0,2024,3,ET010217,Hahayle,Central,Tigray,Normal
-0.6868546605110168,-0.5059338808059692,-0.5913750529289246,4,0.06503626655123029,2024,3,ET010218,Endafelasi,Central,Tigray,Normal
-0.4557438790798187,-0.4326046109199524,-0.44417423009872437,2,0.011569634079942763,2024,3,ET010219,Emba Sieneti,Central,Tigray,Normal
,,,0,,2024,3,ET010220,Enticho town,Central,Tigray,Normal
-0.7262603044509888,-0.6300768852233887,-0.6801336833408901,7,0.03040121426968003,2024,3,ET010221,Keyhe tekli,Central,Tigray,Normal
-0.662438690662384,-0.5609680414199829,-0.5992998480796814,4,0.03823674373221524,2024,3,ET010222,Tanqua Melashe,Central,Tigray,Normal
-0.2176954746246338,0.27611804008483887,0.0685989260673523,4,0.18121583792422968,2024,3,ET010301,Gulo Mekeda,Eastern,Tigray,Normal
0.06299324333667755,0.342381089925766,0.23043978214263916,7,0.08100154385104165,2024,3,ET010302,Erob,Eastern,Tigray,Normal
-0.03695424273610115,0.2731981575489044,0.16000908613204956,6,0.11187476376068944,2024,3,ET010303,Saesie,Eastern,Tigray,Normal
-0.40482163429260254,0.263151615858078,-0.0034286752343177795,4,0.2651648550781095,2024,3,ET010304,Ganta Afeshum,Eastern,Tigray,Normal
-0.7231653332710266,-0.31307539343833923,-0.5193806035178048,7,0.1253552693316632,2024,3,ET010305,Hawzen,Eastern,Tigray,Normal
-0.5586488246917725,-0.16413283348083496,-0.32389097213745116,5,0.15379140447391476,2024,3,ET010306,Kelete Awelallo,Eastern,Tigray,Normal
-0.2415342479944229,-0.12960278987884521,-0.19895206689834594,5,0.0401273892666617,2024,3,ET010307,Atsbi,Eastern,Tigray,Normal
,,,0,,2024,3,ET010308,Adigrat town,Eastern,Tigray,Normal
,,,0,,2024,3,ET010309,Wukro town,Eastern,Tigray,Normal
-0.3549617826938629,-0.3549617826938629,-0.3549617826938629,1,0.0,2024,3,ET010310,Bizet,Eastern,Tigray,Normal
,,,0,,2024,3,ET010311,Edaga Hamus town,Eastern,Tigray,Normal
,,,0,,2024,3,ET010312,Hawzen town,Eastern,Tigray,Normal
,,,0,,2024,3,ET010313,Freweyni town,Eastern,Tigray,Normal
-0.3136773705482483,0.08850628137588501,-0.08092943578958511,4,0.14755279899228643,2024,3,ET010314,Tsaeda Emba,Eastern,Tigray,Normal
,,,0,,2024,3,ET010315,Atsbi town,Eastern,Tigray,Normal
-0.38978472352027893,0.10210460424423218,-0.1334269791841507,8,0.15428271859859105,2024,3,ET010316,Agulae,Eastern,Tigray,Normal
-0.6587426066398621,-0.6587426066398621,-0.6587426066398621,1,0.0,2024,3,ET010317,Geraleta,Eastern,Tigray,Normal
,,,0,,2024,3,ET010318,Zala Anbesa town,Eastern,Tigray,Normal
-0.8935815095901489,-0.8935815095901489,-0.8935815095901489,1,0.0,2024,3,ET010401,Selewa,Southern,Tigray,Normal
,,,0,,2024,3,ET010402,Bora (TG),Southern,Tigray,Normal
-0.35759109258651733,-0.027978774160146713,-0.19278493523597717,2,0.1648061592131853,2024,3,ET010403,Neqsege,Southern,Tigray,Normal
-0.5465074181556702,0.45118919014930725,-0.02565694451332092,5,0.3488863122795517,2024,3,ET010404,Emba Alaje,Southern,Tigray,Normal
0.11588221043348312,0.5781818628311157,0.33407580852508545,3,0.18962038332302494,2024,3,ET010405,Endamehoni,Southern,Tigray,Normal
-0.10634035617113113,0.491934210062027,0.253129092129794,11,0.2098904315075672,2024,3,ET010406,Raya Azebo,Southern,Tigray,Normal
-0.24933785200119019,0.4371374547481537,-0.07643940051396687,6,0.23767676366018897,2024,3,ET010407,Raya Alamata,Southern,Tigray,Normal
